ID,Professor_ID,Difficulty,Clarity,Grade,Ratings
466, 10, 3, 2, 5, 2.
481, 48, 3, 4, 3, 2.
758, 9, 3, 5, 3, 3.
593, 47, 2, 2, 2, 3.
718, 44, 5, 2, 4, 2.
748, 35, 3, 2, 1, 5.
302, 22, 3, 4, 3, 1.
57, 1, 1, 3, 2, 4.
236, 30, 3, 2, 1, 2.
1000, 50, 3, 2, 5, 2.
452, 29, 5, 4, 3, 3.
620, 21, 5, 4, 4, 3.
304, 15, 2, 3, 4, 5.
759, 19, 4, 5, 4, 2.
931, 33, 5, 3, 2, 5.
739, 22, 1, 2, 4, 2.
434, 43, 2, 2, 1, 1.
707, 20, 2, 5, 2, 5.
359, 6, 4, 5, 3, 5.
476, 33, 2, 4, 4, 1.
405, 20, 5, 1, 2, 1.
553, 15, 2, 4, 4, 4.
595, 16, 5, 4, 5, 1.
388, 11, 4, 3, 2, 4.
786, 13, 3, 3, 5, 1.
608, 43, 5, 5, 2, 1.
682, 31, 2, 1, 1, 2.
261, 26, 1, 1, 4, 5.
966, 41, 1, 1, 3, 4.
73, 36, 2, 1, 5, 2.
977, 28, 4, 3, 5, 4.
741, 18, 5, 2, 3, 1.
298, 6, 2, 2, 5, 4.
504, 13, 5, 5, 2, 4.
935, 42, 3, 3, 3, 2.
451, 48, 3, 3, 2, 3.
513, 39, 1, 5, 3, 5.
775, 34, 1, 2, 3, 4.
372, 36, 3, 4, 3, 5.
737, 31, 2, 3, 3, 4.
940, 5, 4, 5, 1, 2.
37, 19, 2, 4, 1, 4.
505, 50, 5, 5, 5, 2.
461, 11, 2, 5, 2, 3.
898, 8, 2, 4, 1, 2.
222, 34, 5, 4, 1, 2.
898, 31, 3, 2, 2, 3.
31, 26, 2, 4, 5, 4.
939, 20, 5, 2, 4, 3.
434, 25, 5, 5, 2, 5.
238, 4, 3, 1, 2, 2.
924, 31, 2, 2, 3, 5.
136, 32, 1, 2, 2, 4.
966, 33, 2, 1, 4, 3.
313, 21, 3, 1, 4, 1.
603, 1, 2, 4, 1, 3.
72, 30, 4, 5, 5, 5.
36, 22, 4, 3, 1, 2.
440, 16, 1, 3, 3, 3.
188, 8, 1, 2, 2, 2.
775, 29, 3, 3, 4, 4.
153, 46, 4, 4, 3, 3.
417, 11, 2, 2, 2, 3.
181, 1, 3, 1, 3, 2.
151, 21, 4, 4, 2, 2.
81, 49, 1, 4, 5, 4.
778, 23, 5, 5, 4, 2.
113, 38, 5, 3, 5, 2.
115, 14, 3, 1, 1, 3.
448, 2, 3, 4, 4, 5.
336, 25, 3, 2, 5, 2.
993, 11, 3, 2, 2, 4.
253, 7, 2, 2, 4, 1.
246, 24, 1, 5, 3, 4.
629, 5, 2, 2, 5, 2.
80, 22, 2, 2, 5, 2.
60, 35, 4, 4, 5, 4.
319, 50, 5, 3, 3, 1.
852, 34, 3, 3, 1, 5.
690, 45, 1, 3, 3, 1.
361, 4, 2, 2, 2, 2.
269, 33, 2, 1, 1, 3.
488, 31, 1, 1, 3, 4.
787, 22, 1, 3, 4, 3.
575, 15, 5, 4, 1, 4.
275, 48, 4, 4, 3, 3.
808, 47, 2, 4, 1, 3.
664, 47, 1, 2, 2, 3.
453, 25, 1, 3, 3, 5.
363, 42, 3, 5, 1, 3.
504, 8, 4, 4, 3, 4.
699, 47, 2, 1, 1, 5.
190, 7, 4, 4, 3, 3.
107, 46, 5, 3, 5, 1.
537, 39, 5, 1, 3, 2.
623, 17, 5, 1, 4, 4.
18, 30, 5, 5, 4, 3.
825, 1, 2, 5, 3, 2.
190, 13, 2, 1, 1, 3.
322, 14, 5, 3, 2, 1.
506, 6, 5, 2, 1, 2.
673, 14, 4, 4, 1, 1.
1000, 21, 4, 5, 5, 2.
859, 43, 4, 4, 4, 4.
518, 17, 5, 1, 4, 1.
228, 49, 4, 4, 5, 2.
901, 25, 4, 3, 1, 4.
297, 32, 4, 3, 4, 2.
740, 21, 3, 2, 5, 1.
684, 6, 2, 1, 3, 2.
780, 23, 5, 3, 4, 2.
227, 14, 5, 2, 3, 4.
637, 17, 4, 5, 2, 3.
762, 4, 1, 4, 1, 1.
344, 19, 1, 5, 2, 4.
460, 34, 4, 2, 4, 3.
891, 40, 3, 5, 1, 4.
318, 13, 5, 4, 4, 4.
217, 7, 1, 3, 4, 4.
126, 40, 2, 1, 5, 5.
163, 25, 1, 1, 2, 3.
715, 48, 4, 4, 1, 4.
299, 14, 4, 5, 2, 3.
960, 28, 4, 5, 1, 3.
589, 27, 1, 2, 2, 3.
202, 39, 4, 1, 5, 3.
67, 33, 2, 4, 1, 5.
948, 31, 3, 4, 1, 1.
532, 50, 5, 4, 5, 4.
950, 37, 1, 4, 5, 3.
451, 49, 4, 1, 5, 1.
458, 34, 4, 5, 5, 1.
951, 1, 1, 4, 5, 3.
42, 5, 4, 2, 5, 1.
652, 12, 2, 1, 1, 2.
656, 37, 2, 1, 3, 4.
667, 14, 3, 2, 2, 2.
744, 39, 4, 4, 5, 4.
108, 14, 4, 4, 2, 3.
976, 16, 3, 5, 3, 5.
749, 28, 4, 1, 5, 3.
36, 31, 4, 4, 5, 4.
184, 18, 1, 4, 5, 3.
846, 34, 5, 1, 2, 4.
344, 4, 4, 2, 4, 3.
946, 13, 3, 3, 5, 4.
589, 49, 1, 1, 5, 4.
875, 32, 1, 4, 5, 1.
90, 49, 3, 5, 2, 1.
405, 9, 4, 4, 1, 1.
696, 17, 1, 5, 1, 2.
758, 6, 1, 2, 5, 5.
47, 29, 5, 2, 2, 2.
497, 43, 1, 4, 1, 2.
759, 41, 2, 5, 5, 3.
909, 33, 1, 1, 2, 4.
37, 23, 5, 5, 5, 5.
738, 45, 5, 3, 2, 2.
506, 18, 3, 5, 1, 1.
925, 15, 5, 3, 5, 4.
564, 30, 3, 3, 1, 3.
235, 21, 2, 5, 5, 4.
981, 33, 5, 2, 1, 1.
288, 44, 5, 5, 1, 3.
535, 19, 5, 4, 4, 2.
511, 23, 2, 1, 3, 2.
139, 48, 1, 5, 4, 5.
103, 48, 4, 4, 1, 4.
744, 48, 3, 1, 4, 4.
955, 26, 2, 5, 3, 1.
528, 24, 4, 3, 2, 1.
437, 28, 2, 5, 5, 5.
134, 24, 1, 2, 1, 2.
843, 2, 1, 4, 4, 5.
357, 8, 4, 3, 1, 1.
607, 14, 2, 5, 2, 2.
564, 29, 4, 1, 2, 3.
768, 20, 4, 4, 3, 5.
832, 19, 4, 5, 1, 5.
88, 17, 1, 3, 2, 3.
714, 14, 3, 5, 2, 3.
650, 24, 2, 5, 3, 5.
538, 36, 3, 2, 1, 1.
274, 40, 1, 2, 1, 2.
349, 4, 5, 1, 4, 2.
444, 16, 5, 2, 4, 5.
888, 32, 1, 3, 3, 1.
313, 18, 5, 5, 4, 1.
385, 3, 5, 5, 3, 2.
376, 44, 5, 2, 5, 3.
340, 12, 2, 4, 4, 4.
150, 6, 1, 4, 4, 5.
446, 14, 2, 1, 5, 5.
686, 6, 2, 1, 3, 3.
998, 45, 4, 5, 1, 3.
176, 33, 4, 5, 2, 2.
887, 9, 3, 4, 2, 1.
222, 46, 2, 1, 3, 2.
825, 39, 2, 2, 3, 3.
630, 49, 1, 2, 3, 4.
12, 41, 3, 5, 5, 1.
423, 22, 3, 3, 5, 4.
449, 23, 2, 1, 3, 3.
704, 4, 5, 1, 1, 3.
963, 14, 3, 2, 2, 2.
533, 12, 3, 3, 5, 4.
799, 40, 2, 3, 3, 1.
824, 48, 3, 4, 1, 1.
459, 41, 1, 2, 2, 2.
404, 28, 1, 5, 2, 5.
855, 40, 1, 3, 4, 2.
815, 14, 2, 3, 4, 5.
941, 36, 1, 2, 1, 5.
670, 2, 1, 4, 1, 2.
803, 38, 1, 1, 3, 3.
174, 24, 5, 2, 5, 3.
651, 17, 4, 4, 1, 4.
845, 39, 5, 5, 1, 3.
347, 19, 3, 2, 4, 5.
883, 2, 4, 2, 2, 5.
184, 27, 5, 4, 1, 4.
3, 15, 3, 3, 1, 1.
51, 27, 2, 4, 5, 5.
567, 17, 2, 5, 2, 5.
173, 6, 4, 5, 5, 3.
531, 46, 2, 3, 2, 3.
392, 36, 1, 1, 5, 3.
161, 16, 5, 4, 2, 2.
183, 44, 3, 1, 4, 1.
102, 5, 2, 5, 4, 3.
105, 26, 3, 2, 1, 1.
784, 50, 1, 2, 5, 4.
92, 33, 2, 3, 3, 3.
431, 5, 3, 3, 2, 2.
261, 27, 5, 1, 1, 1.
386, 12, 5, 5, 2, 3.
941, 33, 1, 1, 1, 4.
583, 23, 2, 3, 4, 3.
896, 34, 4, 1, 5, 1.
423, 47, 4, 5, 2, 1.
625, 31, 3, 4, 2, 4.
17, 13, 1, 2, 2, 5.
462, 49, 2, 4, 4, 5.
742, 3, 1, 3, 2, 3.
229, 44, 5, 4, 3, 2.
328, 4, 5, 2, 2, 5.
711, 13, 3, 5, 4, 5.
854, 27, 3, 2, 2, 2.
864, 34, 1, 3, 2, 3.
80, 3, 1, 3, 4, 1.
838, 2, 1, 1, 2, 4.
256, 42, 2, 1, 4, 4.
579, 27, 3, 5, 3, 2.
489, 18, 4, 1, 1, 4.
150, 7, 4, 3, 4, 4.
372, 1, 2, 2, 4, 4.
61, 43, 5, 1, 2, 4.
451, 16, 2, 3, 4, 5.
439, 28, 5, 3, 4, 3.
479, 11, 5, 2, 2, 3.
214, 13, 5, 3, 5, 2.
526, 48, 3, 2, 5, 5.
4, 1, 5, 4, 5, 1.
937, 10, 2, 4, 5, 5.
3, 26, 3, 1, 4, 5.
250, 33, 3, 2, 2, 1.
231, 35, 4, 3, 3, 1.
72, 47, 4, 5, 5, 1.
312, 38, 4, 3, 3, 4.
724, 11, 3, 3, 4, 4.
443, 31, 3, 1, 2, 4.
558, 39, 4, 5, 4, 2.
48, 12, 3, 2, 2, 3.
133, 40, 1, 5, 2, 1.
645, 45, 3, 2, 3, 5.
883, 2, 4, 3, 4, 1.
878, 2, 3, 5, 3, 5.
785, 15, 1, 1, 3, 1.
952, 18, 3, 3, 3, 4.
939, 32, 3, 4, 3, 2.
244, 7, 3, 3, 4, 3.
693, 47, 5, 2, 4, 1.
352, 44, 3, 5, 1, 2.
131, 47, 1, 1, 4, 4.
234, 17, 4, 3, 4, 3.
933, 49, 1, 2, 5, 4.
328, 44, 5, 4, 5, 5.
26, 18, 5, 3, 3, 1.
568, 12, 3, 4, 2, 1.
913, 11, 3, 2, 5, 1.
192, 28, 4, 3, 4, 3.
760, 31, 2, 5, 4, 3.
499, 7, 1, 3, 1, 3.
501, 34, 1, 2, 5, 3.
156, 41, 3, 5, 3, 5.
561, 8, 2, 1, 4, 3.
778, 45, 5, 1, 2, 2.
179, 37, 4, 2, 4, 5.
721, 8, 5, 1, 2, 2.
115, 25, 4, 4, 1, 1.
986, 9, 5, 1, 2, 1.
306, 49, 2, 1, 1, 4.
363, 30, 3, 3, 5, 2.
38, 3, 5, 2, 1, 1.
751, 10, 3, 2, 3, 1.
369, 23, 3, 5, 4, 2.
251, 17, 4, 3, 2, 5.
872, 45, 4, 5, 4, 3.
235, 47, 2, 2, 1, 2.
847, 13, 4, 2, 3, 3.
238, 12, 2, 5, 3, 3.
778, 44, 2, 4, 1, 4.
227, 13, 1, 2, 2, 1.
431, 25, 4, 4, 4, 2.
254, 10, 4, 1, 4, 1.
291, 24, 3, 4, 1, 2.
525, 7, 3, 5, 3, 1.
622, 41, 1, 3, 4, 5.
141, 8, 1, 1, 4, 3.
13, 9, 4, 2, 3, 5.
304, 31, 5, 5, 3, 3.
761, 17, 3, 5, 3, 1.
634, 4, 5, 1, 2, 4.
513, 49, 2, 5, 1, 3.
538, 2, 2, 1, 5, 5.
959, 43, 4, 2, 4, 2.
244, 31, 4, 3, 2, 5.
356, 4, 4, 1, 1, 2.
596, 13, 1, 2, 5, 2.
76, 4, 3, 1, 5, 1.
596, 38, 5, 5, 3, 5.
861, 24, 1, 3, 2, 3.
109, 18, 4, 5, 1, 4.
693, 15, 3, 2, 4, 3.
503, 44, 2, 2, 3, 4.
386, 29, 1, 3, 2, 2.
694, 2, 4, 1, 3, 1.
881, 12, 3, 3, 1, 5.
866, 47, 5, 3, 4, 3.
294, 24, 4, 2, 4, 4.
9, 50, 3, 4, 4, 4.
683, 19, 4, 2, 2, 4.
884, 32, 1, 5, 3, 5.
865, 42, 1, 2, 3, 3.
714, 3, 2, 4, 4, 1.
927, 24, 4, 5, 4, 2.
260, 42, 5, 4, 5, 3.
43, 43, 3, 2, 4, 3.
803, 2, 2, 3, 3, 4.
32, 43, 1, 1, 4, 5.
598, 9, 2, 5, 2, 5.
53, 4, 2, 3, 2, 5.
311, 46, 5, 5, 2, 5.
262, 28, 1, 5, 1, 4.
700, 25, 3, 2, 2, 2.
309, 2, 2, 4, 2, 5.
836, 30, 2, 4, 5, 4.
573, 30, 2, 2, 4, 2.
521, 2, 4, 1, 3, 2.
599, 32, 3, 3, 4, 1.
717, 1, 5, 2, 4, 2.
400, 38, 2, 1, 5, 3.
960, 8, 4, 4, 5, 3.
326, 11, 2, 3, 5, 5.
625, 42, 2, 3, 3, 1.
771, 35, 5, 4, 2, 2.
282, 8, 1, 5, 5, 5.
751, 37, 2, 3, 2, 2.
215, 26, 4, 2, 2, 5.
488, 33, 3, 1, 2, 1.
683, 24, 3, 4, 2, 4.
329, 40, 4, 3, 4, 3.
875, 1, 2, 5, 3, 4.
876, 39, 5, 2, 1, 5.
237, 25, 5, 4, 3, 2.
419, 33, 1, 1, 3, 4.
639, 36, 4, 2, 1, 2.
576, 14, 2, 4, 2, 2.
809, 33, 2, 4, 4, 2.
670, 47, 2, 1, 3, 5.
654, 1, 2, 3, 5, 3.
849, 15, 2, 2, 1, 4.
48, 46, 1, 4, 5, 5.
665, 40, 5, 5, 2, 2.
762, 18, 3, 2, 4, 4.
551, 44, 4, 3, 5, 1.
4, 10, 4, 1, 4, 3.
628, 14, 5, 5, 3, 2.
291, 15, 4, 3, 1, 2.
649, 48, 3, 1, 4, 1.
720, 6, 1, 4, 1, 3.
297, 4, 3, 5, 3, 4.
544, 4, 3, 3, 2, 4.
998, 29, 4, 4, 3, 5.
21, 39, 2, 5, 4, 3.
291, 49, 4, 3, 1, 2.
920, 3, 5, 3, 2, 1.
921, 19, 2, 1, 1, 2.
229, 10, 3, 5, 4, 1.
142, 42, 1, 3, 3, 3.
927, 24, 4, 2, 3, 4.
860, 35, 1, 4, 2, 3.
942, 23, 1, 4, 5, 3.
854, 30, 5, 1, 5, 5.
862, 38, 5, 1, 3, 4.
127, 28, 5, 5, 5, 5.
317, 13, 3, 4, 1, 1.
667, 34, 5, 4, 3, 5.
926, 50, 2, 1, 3, 3.
318, 18, 4, 1, 3, 5.
474, 14, 1, 3, 2, 5.
764, 10, 5, 2, 3, 1.
258, 47, 2, 1, 4, 1.
406, 31, 5, 4, 5, 4.
403, 38, 4, 1, 4, 5.
413, 33, 2, 3, 5, 2.
964, 40, 4, 1, 2, 2.
775, 39, 5, 3, 1, 5.
51, 28, 1, 1, 1, 2.
831, 7, 5, 3, 2, 3.
563, 34, 1, 2, 4, 3.
801, 28, 2, 5, 3, 5.
799, 19, 1, 3, 5, 4.
48, 37, 5, 2, 3, 4.
150, 6, 4, 1, 1, 4.
863, 46, 1, 3, 3, 5.
243, 1, 2, 2, 2, 2.
676, 1, 5, 2, 4, 1.
491, 44, 5, 1, 1, 3.
434, 5, 5, 5, 2, 3.
298, 19, 4, 1, 5, 3.
524, 41, 4, 1, 2, 2.
133, 12, 1, 4, 3, 5.
120, 36, 2, 5, 3, 4.
925, 22, 4, 5, 4, 3.
837, 38, 2, 3, 5, 1.
906, 38, 5, 5, 1, 3.
225, 23, 5, 4, 1, 2.
441, 26, 4, 5, 3, 4.
217, 43, 2, 2, 5, 1.
583, 24, 4, 3, 1, 3.
808, 36, 2, 3, 4, 1.
503, 41, 3, 2, 2, 4.
93, 14, 4, 4, 4, 4.
711, 27, 3, 4, 2, 3.
650, 27, 3, 4, 5, 5.
323, 6, 4, 5, 4, 2.
168, 25, 3, 5, 5, 5.
893, 49, 1, 4, 5, 3.
991, 41, 2, 2, 3, 4.
605, 16, 3, 3, 4, 3.
326, 8, 2, 4, 1, 2.
29, 11, 1, 1, 4, 4.
699, 45, 4, 1, 3, 4.
712, 21, 2, 5, 5, 3.
338, 8, 1, 2, 4, 4.
904, 24, 5, 1, 4, 3.
588, 12, 5, 2, 4, 3.
284, 20, 3, 5, 5, 3.
302, 12, 5, 5, 3, 5.
464, 14, 4, 3, 4, 5.
542, 4, 3, 1, 2, 4.
243, 26, 3, 1, 1, 2.
891, 14, 5, 1, 5, 4.
614, 27, 3, 4, 1, 5.
513, 3, 2, 4, 4, 5.
371, 40, 5, 3, 5, 4.
902, 12, 2, 1, 4, 1.
932, 12, 1, 3, 3, 1.
4, 30, 3, 5, 1, 1.
819, 38, 5, 3, 1, 2.
240, 24, 3, 4, 1, 5.
816, 47, 1, 5, 4, 4.
983, 42, 3, 4, 4, 3.
795, 41, 5, 4, 2, 3.
385, 50, 3, 5, 1, 2.
727, 45, 3, 2, 2, 2.
672, 49, 5, 3, 1, 1.
529, 17, 3, 2, 1, 1.
625, 34, 3, 1, 2, 2.
276, 21, 5, 2, 3, 5.
392, 23, 1, 1, 4, 5.
213, 47, 5, 1, 1, 3.
128, 21, 1, 4, 4, 4.
29, 20, 3, 3, 3, 1.
159, 2, 4, 2, 4, 4.
605, 3, 2, 4, 5, 2.
60, 1, 1, 4, 1, 4.
677, 1, 1, 5, 1, 4.
814, 46, 3, 2, 5, 4.
959, 23, 1, 4, 4, 3.
711, 36, 4, 3, 3, 5.
209, 4, 4, 1, 2, 4.
842, 6, 1, 4, 3, 5.
468, 31, 2, 4, 1, 4.
36, 3, 2, 2, 3, 2.
42, 1, 4, 3, 3, 4.
987, 7, 1, 2, 5, 4.
588, 17, 1, 4, 5, 5.
708, 1, 3, 2, 2, 4.
451, 45, 4, 4, 4, 4.
310, 37, 4, 3, 1, 2.
502, 18, 3, 3, 2, 4.
641, 1, 1, 3, 2, 3.
426, 16, 2, 4, 5, 4.
333, 3, 1, 3, 5, 1.
18, 31, 2, 4, 2, 2.
917, 44, 5, 4, 1, 3.
833, 38, 5, 3, 2, 1.
169, 15, 3, 2, 1, 2.
218, 47, 3, 5, 2, 4.
278, 33, 4, 5, 4, 4.
117, 10, 4, 3, 2, 1.
637, 46, 4, 2, 2, 2.
284, 4, 2, 1, 2, 3.
652, 28, 3, 1, 4, 2.
723, 38, 3, 2, 3, 1.
256, 10, 1, 2, 1, 1.
992, 47, 4, 3, 4, 3.
268, 24, 3, 2, 4, 3.
950, 39, 5, 4, 5, 1.
484, 27, 1, 4, 1, 5.
718, 26, 3, 5, 5, 1.
104, 26, 1, 2, 4, 1.
161, 11, 2, 3, 3, 5.
441, 4, 5, 1, 1, 1.
227, 16, 3, 3, 2, 5.
243, 3, 3, 1, 5, 3.
187, 46, 3, 5, 1, 2.
100, 13, 1, 1, 2, 2.
733, 41, 3, 1, 2, 5.
3, 34, 3, 4, 1, 2.
432, 3, 5, 5, 2, 5.
42, 13, 2, 5, 3, 2.
912, 35, 4, 5, 5, 2.
679, 36, 3, 4, 4, 1.
879, 43, 2, 4, 5, 3.
424, 14, 2, 4, 3, 2.
595, 1, 4, 5, 2, 4.
960, 34, 4, 2, 3, 5.
748, 39, 3, 2, 3, 4.
381, 7, 1, 5, 4, 5.
761, 34, 3, 5, 3, 2.
559, 50, 3, 5, 4, 1.
836, 13, 2, 5, 2, 4.
790, 17, 2, 2, 1, 5.
577, 34, 1, 3, 2, 5.
811, 26, 1, 1, 5, 3.
704, 19, 3, 4, 2, 3.
866, 23, 2, 5, 4, 3.
328, 34, 3, 5, 2, 1.
506, 44, 3, 4, 2, 1.
827, 20, 1, 2, 1, 4.
708, 16, 3, 5, 2, 5.
704, 4, 3, 5, 3, 2.
897, 6, 3, 3, 2, 1.
662, 25, 1, 2, 1, 4.
399, 10, 3, 3, 1, 2.
198, 34, 1, 2, 4, 4.
384, 28, 1, 1, 2, 1.
746, 13, 3, 4, 3, 2.
379, 41, 3, 3, 1, 2.
704, 49, 2, 1, 5, 1.
448, 38, 1, 5, 2, 5.
55, 47, 4, 3, 5, 4.
319, 20, 2, 3, 2, 5.
232, 4, 5, 3, 1, 1.
210, 29, 2, 2, 1, 1.
461, 6, 2, 5, 2, 3.
636, 41, 5, 1, 4, 5.
674, 29, 2, 5, 1, 3.
403, 16, 5, 3, 4, 4.
824, 16, 2, 5, 4, 2.
615, 37, 5, 3, 2, 2.
541, 42, 5, 5, 1, 3.
655, 15, 1, 3, 1, 5.
345, 18, 3, 5, 2, 1.
914, 21, 4, 2, 3, 2.
645, 2, 5, 3, 2, 4.
562, 43, 2, 4, 5, 2.
925, 39, 3, 5, 4, 3.
809, 22, 1, 1, 3, 3.
307, 40, 2, 4, 4, 2.
355, 49, 2, 1, 1, 2.
724, 17, 3, 5, 2, 1.
668, 37, 1, 4, 5, 4.
274, 43, 3, 1, 4, 1.
374, 36, 5, 2, 2, 4.
963, 40, 1, 3, 3, 5.
904, 45, 2, 3, 5, 2.
51, 17, 5, 4, 4, 3.
151, 39, 5, 1, 4, 1.
502, 42, 2, 2, 2, 3.
439, 31, 3, 2, 3, 4.
889, 37, 2, 4, 1, 4.
645, 16, 5, 1, 4, 4.
768, 42, 5, 1, 4, 1.
736, 20, 1, 3, 4, 1.
553, 23, 5, 1, 5, 2.
590, 43, 4, 3, 1, 5.
631, 44, 5, 3, 1, 5.
804, 42, 4, 5, 4, 3.
394, 19, 2, 5, 4, 1.
252, 41, 5, 3, 4, 1.
798, 22, 5, 4, 1, 3.
297, 39, 2, 3, 5, 3.
45, 39, 5, 1, 1, 1.
798, 42, 2, 1, 5, 4.
230, 14, 5, 5, 2, 2.
299, 28, 5, 4, 5, 5.
959, 9, 5, 3, 4, 4.
183, 6, 1, 1, 2, 1.
575, 7, 3, 2, 5, 4.
703, 3, 5, 1, 5, 2.
227, 10, 5, 4, 5, 4.
504, 42, 4, 5, 1, 4.
363, 47, 5, 2, 4, 3.
287, 50, 5, 2, 2, 2.
272, 17, 2, 2, 4, 1.
919, 25, 2, 5, 2, 4.
850, 27, 5, 4, 4, 3.
966, 16, 4, 4, 2, 4.
701, 24, 5, 3, 3, 1.
722, 35, 4, 5, 1, 3.
714, 45, 3, 3, 3, 1.
393, 42, 5, 4, 5, 4.
797, 10, 3, 5, 3, 3.
791, 34, 4, 2, 3, 3.
495, 47, 3, 3, 5, 5.
176, 37, 3, 1, 2, 2.
520, 23, 4, 3, 2, 4.
327, 44, 4, 2, 2, 4.
